"_mkv_child","_timediff",ascii,base64bin,base64char,bin,dec,hex
0,,":NUL:",000000,A,00000000,0,00
1,,"",000001,B,00000001,1,01
2,,"",000010,C,00000010,2,02
3,,"",000011,D,00000011,3,03
4,,"",000100,E,00000100,4,04
5,,"",000101,F,00000101,5,05
6,,"",000110,G,00000110,6,06
7,,"",000111,H,00000111,7,07
8,,"",001000,I,00001000,8,08
9,,"	",001001,J,00001001,9,09
10,,"
",001010,K,00001010,10,0A
11,,"",001011,L,00001011,11,0B
12,,"",001100,M,00001100,12,0C
13,,"",001101,N,00001101,13,0D
14,,"",001110,O,00001110,14,0E
15,,"",001111,P,00001111,15,0F
16,,"",010000,Q,00010000,16,10
17,,"",010001,R,00010001,17,11
18,,"",010010,S,00010010,18,12
19,,"",010011,T,00010011,19,13
20,,"",010100,U,00010100,20,14
21,,"",010101,V,00010101,21,15
22,,"",010110,W,00010110,22,16
23,,"",010111,X,00010111,23,17
24,,"",011000,Y,00011000,24,18
25,,"",011001,Z,00011001,25,19
26,,"",011010,a,00011010,26,1A
27,,"",011011,b,00011011,27,1B
28,,"",011100,c,00011100,28,1C
29,,"",011101,d,00011101,29,1D
30,,"",011110,e,00011110,30,1E
31,,"",011111,f,00011111,31,1F
32,,":SPACE:",100000,g,00100000,32,20
33,,"!",100001,h,00100001,33,21
34,,"""",100010,i,00100010,34,22
35,,"#",100011,j,00100011,35,23
36,,"$",100100,k,00100100,36,24
37,,"%",100101,l,00100101,37,25
38,,"&",100110,m,00100110,38,26
39,,"'",100111,n,00100111,39,27
40,,"(",101000,o,00101000,40,28
41,,")",101001,p,00101001,41,29
42,,"*",101010,q,00101010,42,2A
43,,"+",101011,r,00101011,43,2B
44,,",",101100,s,00101100,44,2C
45,,"-",101101,t,00101101,45,2D
46,,".",101110,u,00101110,46,2E
47,,"/",101111,v,00101111,47,2F
48,,0,110000,w,00110000,48,30
49,,1,110001,x,00110001,49,31
50,,2,110010,y,00110010,50,32
51,,3,110011,z,00110011,51,33
52,,4,110100,0,00110100,52,34
53,,5,110101,1,00110101,53,35
54,,6,110110,2,00110110,54,36
55,,7,110111,3,00110111,55,37
56,,8,111000,4,00111000,56,38
57,,9,111001,5,00111001,57,39
58,,":",111010,6,00111010,58,3A
59,,";",111011,7,00111011,59,3B
60,,"<",111100,8,00111100,60,3C
61,,"=",111101,9,00111101,61,3D
62,,">",111110,"+",00111110,62,3E
63,,"?",111111,"/",00111111,63,3F
64,,"@",,,01000000,64,40
65,,A,,,01000001,65,41
66,,B,,,01000010,66,42
67,,C,,,01000011,67,43
68,,D,,,01000100,68,44
69,,E,,,01000101,69,45
70,,F,,,01000110,70,46
71,,G,,,01000111,71,47
72,,H,,,01001000,72,48
73,,I,,,01001001,73,49
74,,J,,,01001010,74,4A
75,,K,,,01001011,75,4B
76,,L,,,01001100,76,4C
77,,M,,,01001101,77,4D
78,,N,,,01001110,78,4E
79,,O,,,01001111,79,4F
80,,P,,,01010000,80,50
81,,Q,,,01010001,81,51
82,,R,,,01010010,82,52
83,,S,,,01010011,83,53
84,,T,,,01010100,84,54
85,,U,,,01010101,85,55
86,,V,,,01010110,86,56
87,,W,,,01010111,87,57
88,,X,,,01011000,88,58
89,,Y,,,01011001,89,59
90,,Z,,,01011010,90,5A
91,,"[",,,01011011,91,5B
92,,"\",,,01011100,92,5C
93,,"]",,,01011101,93,5D
94,,"^",,,01011110,94,5E
95,,"_",,,01011111,95,5F
96,,"`",,,01100000,96,60
97,,a,,,01100001,97,61
98,,b,,,01100010,98,62
99,,c,,,01100011,99,63
100,,d,,,01100100,100,64
101,,e,,,01100101,101,65
102,,f,,,01100110,102,66
103,,g,,,01100111,103,67
