"field_name",count
API,52
AccessGranted,8
AccessMask,202
AccountExpires,1454
AccountName,1654
Action,2892
ActionName,51792
Active,2892
AdapterName,74
AdapterSuffixName,74
AddSense,1124
AddSenseQ,1124
AdditionalInfo,202
AdditionalInfoHr,6018
Address,4134
Address1,14
Address2,14
AddressLength,7810
Addresses,772
AdvancedOptions,44
AlgorithmName,35930
AllowedToDelegateTo,1454
AppContainerName,2882
AppDomain,406
AppID,1602
AppId,1136
AppPoolID,102
AppSettings,4
AppState,12
AppType,10
AppUserModelId,30
ApplicableGPOList,6890
ApplicationId,12
ApplicationPath,794
AppliedGuids,364
Architecture,584
AssociateId,2590
AttemptAfter,24
AuthRequired,248
AuthenticationPackageName,191994
BandwidthInkbps,2524
BiometricSensor,804
BitlockerUserInputTime,98
BootAppStatus,14
BootAutoChkTime,284
BootCriticalServicesInitTime,284
BootDegradationDelta,284
BootDevicesInitTime,284
BootDriverInitTime,284
BootEndTime,284
BootExplorerInitTime,284
BootImprovementDelta,284
BootIsDegradation,284
BootIsGradualDegradation,284
BootIsRebootAfterInstall,284
BootIsRootCauseIdentified,284
BootIsStepDegradation,284
BootKernelInitTime,284
BootMachineProfileProcessingTime,284
BootMenuPolicy,44
BootMode,156
BootNumStartupApps,284
BootPNPInitDuration,284
BootPNPInitStartTimeMS,284
BootPlanTimestamp,568
BootPostBootTime,284
BootPrefetchBytes,284
BootPrefetchInitTime,284
BootRootCauseGradualDegradationBits,284
BootRootCauseGradualImprovementBits,284
BootRootCauseStepDegradationBits,284
BootRootCauseStepImprovementBits,284
BootSmssInitTime,284
BootStartTime,284
BootTime,284
BootTsVersion,284
BootType,98
BootUserProfileProcessingTime,284
BucketIoCount1,3642
BucketIoCount2,3642
BucketIoCount3,3642
BucketIoCount4,3642
BucketIoCount5,3642
BufferSize,1530
BugcheckCode,24
BugcheckParameter1,24
BugcheckParameter2,24
BugcheckParameter3,24
BugcheckParameter4,24
"Build Name",1222
BuildVersion,156
Bytes,5146
CSEElaspedTimeInMilliSeconds,6892
CSEExtensionId,13782
CSEExtensionName,13782
CallerProcessId,1936
CallerProcessName,1936
Capability,10446
CapabilityChangeReason,10446
Caption,8
Category,1820
CategoryName,52
ChannelId,2
ChannelName,210
ChannelsExist,46
Checkpoint,8
ClassDeviceGuid,4766
ClassGuid,3096
ClientIP,44
ClientMode,18
Code,2
CollectionId,20
Column,310
Command,3330
CommandLine,243284
CommandLineSize,60
CommitTimeInMSec,44
Company,243224
CompanyName,458
CompanyNameLength,520
Component,276
ComponentName,8
ComputerName,16
Config,128
ConfigAccessPolicy,44
Configuration,4
ConfigurationFileHash,4
ConfigurationReader,28
ConnType,44
ConnectedStandbyInProgress,8
ConnectionCostChanged,8646
ConnectionName,56
ConnectionType,6652
ContainerId,1646
Context,58
ContextInfo,10
ContractId,930
CorruptionActionState,216
Count,1350
CounterId,4672
CounterSetGuid,5704
Created,248
CreationUtcTime,14226
CsEntryScenarioInstanceId,8
"Current Engine Version",352
"Current Signature Version",332
"Current State",19114
CurrentDirectory,243224
CurrentOrNextState,1722
CurrentStatus,4798
CustomLevel,72
CustomizationInformation,36
DCDiscoveryTimeInMilliSeconds,2528
DCDomainName,2528
DCIPAddress,2522
DCName,6734
DUID,14
DUIDLength,14
Data,2436
DatabaseID,804
"Default SD String:",44
DegradationTime,606
DeploymentOperation,5438
DeploymentState,34
Description,246286
DescriptionSize,1452
DescriptionString,620
DesiredStatus,4798
DestinationFolderPath,228
DestinationHostname,347638
DestinationIp,347638
DestinationIsIpv6,347638
DestinationPort,347638
DestinationPortName,347638
Details,3448
DeviceCapabilityName,4
DeviceDegradationTime,100
DeviceFriendlyName,100
DeviceFriendlyNameLength,100
DeviceGUID,1530
DeviceId,310
DeviceInstanceId,4128
DeviceInterfaceId,762
DeviceName,1028
DeviceNameLength,762
DeviceNumber,1530
DeviceObject,52
DeviceTime,662
DeviceTotalTime,100
DeviceUpdated,1250
DeviceVersionMajor,662
DeviceVersionMinor,662
DiagnosticModuleId,9364
DiagnosticModuleImageName,9364
DidWaitTimeout,30
Direction,2892
DirtyPages,772
DisableIntegrityChecks,44
DiskAssessmentTimestamp,60
DisplayDeviceFriendlyName,14
DisplayDeviceFriendlyNameLength,14
DisplayName,1456
DnsServerList,74
Domain,1756
DomainBehaviorVersion,22
DomainConnectivityLevelChanged,8646
DomainName,38
DomainPeer,42
DomainPolicyChanged,22
DomainSid,22
DriveName,216
DriverDate,1240
DriverInbox,1250
DriverName,3030
DriverNameLength,10
DriverProvider,1240
DriverRank,1250
DriverSection,1240
DriverVersion,1240
Dummy,1000
Duration,3138
"Duration (ms)",628
DwordVal,288
"Dynamic Signature Compilation Timestamp",178
"Dynamic Signature Type",210
"Dynamic Signature Type Index",210
"Dynamic Signature Version",210
EdgeTraversal,2892
EffectiveSid,2
Elapsed,1926
ElevatedToken,12692
EmbeddedContext,2786
EnableDisableReason,44
EndOfLifePackageList,28
Endpoint,56
EngineAdapter,804
EngineName,244
EnginePID,31614
EntryCount,98
EntryPoint,50
EntryPointLength,7232
Error,8724
"Error Code",24666
"Error Description",1368
ErrorCode,96482
ErrorDescription,460
ErrorMessage,302
Event,44
"Event Name",10830
EventGuid,2610
EventName,36
EventType,3094
"Exception Details",6
ExceptionCode,2
ExecutionState,12
Exemption,248
ExitCode,1172
Expires,248
Expression,38
ExtOrUriScheme,148
ExtendedFlag,184
ExtensionId,430
ExtensionName,736
ExtensionsExecutionOrder,1754
ExtentsBucketsCount,2538
ExtraInfoLength,372
ExtraInfoString,368
FailedAttempts,102
FailedInstances,20
"Failure reason",50
FailureName,10
FailureNameLength,10
FailureReason,3180
Family,10446
"Feature ID",8
"Feature Index",16
"Feature Name",24
File,1526
"File Name",104
FileCount,4
FileFlushAvgLatencyNs,2538
FileFlushCount,2538
FileLevelTrimAvgLatencyNs,2538
FileLevelTrimCount,2538
FileLevelTrimExtentsCount,2538
FileLevelTrimTotalBytes,2538
FileName,5788
FileNameBuffer,7440
FileNameLength,7440
FilePath,62
FileVersion,243224
Filename,124
FilterHostProcessID,2
FilterID,372
FinalStatus,662
FirmwareVersion,1530
FirstGraphicsReceived,10
Flag1,300
Flag2,300
Flags,15534
FlightSigning,44
FlushLatencyBucket1,200
FlushLatencyBucket2,200
FlushLatencyBucket3,200
FlushLatencyBucket4,200
FlushLatencyBucket5,200
FlushLatencyBucket6,200
FlushLatencyBucket7,200
FolderId,26184
ForceLogoff,8
Format,4
Forwarders,22
FriendlyName,482
FriendlyNameLength,520
From,422
FullFilePath,128
Function,107516
FunctionName,1234
GPODisplayName,6
GPODownloadTimeElapsedInMilliseconds,1582
GPOFileSystemPath,6
GPOInfoList,4484
GPOListStatusString,6890
GPOScriptCommandString,6
GatewayIpAddress,4
GeoId,62
GfxChannelOpened,10
GpsvcInitTimeElapsedInMilliseconds,550
GpsvcTimeElapsedInMilliseconds,10
Group,2922
GroupId,2602
GroupName,4
Groups,24
Guid,1600
H264Enabled,18
HRESULT,2536
HResult,5422
HWAddress,322
HWLength,322
HandleId,758
HasAuthUrl,248
HasEndAuthUrl,248
HasFlowUrl,248
Hashes,243278
HexInt1,1040
HexInt2,640
HexInt3,560
HighIoLatencyCount,2538
HighestFreeSpaceInBytes,1010
HiveName,836
HiveNameLength,836
HomeDirectory,1454
HomeGroupID,32
HomePath,1454
HostName,8314
HostNameChanged,8646
HttpStatus,8008
HypervisorDebug,44
HypervisorLaunchType,44
HypervisorLoadOptions,44
ID,448
IPVersion,172
Id,16690
IdleImplementation,384
IdleStateCount,500
IfIndex,2342
IfLuid,10446
Image,614404
ImageLoaded,54
ImagePath,1710
ImpersonationLevel,174068
ImpressionId,2
IndexSystem,66
InfoDescription,17530
Initiated,347638
InstallPackageList,28
InstallState,24
InstanceID,24
InstanceId,92606
InstanceName,5670
InstancePath,16
Int1,304
Integer1,8
IntegrityLevel,243224
Interface,56
"Interface Name",772
InterfaceClassGuid,762
InterfaceGuid,14812
InterfaceId,334
InterfaceName,1292
IntervalDurationUs,2538
IoBucketsCount,2538
IoCount,68314
IoCountArray,3642
IoCountArrayLength,3642
IoLatencyBuckets,3642
IoSize,1124
IoTypeIndex,68314
IoctlControlCode,1530
IpAddress,314232
IpPort,314232
Ipaddress,74
IrpStatus,1530
IsAsyncProcessing,6854
IsBackgroundProcessing,6854
IsBootVolume,3748
IsCentennial,1832
IsConnectivityFailure,2572
IsDomainJoined,2554
IsExtensionAsyncProcessing,6890
IsFwdToCdpEnabled,14
IsGPOListChanged,6890
IsIdle,142
IsMachine,16152
IsMachineBoot,560
IsMirrorMasterSwitchEnabled,14
IsPackageEncrypted,1832
IsPolicyConfigured,30
IsRoaming,92
IsScriptHidden,54
IsScriptMinimized,54
IsScriptSync,54
IsServiceRestart,3114
IsSlowLink,2524
IsSpecialToast,6
IsTestConfig,44
IsolationEngineAdapter,804
IsolationLevel,804
IsolationSensorAdapter,804
IsolationStorageAdapter,804
ItemsAdded,228
ItemsCached,228
ItemsExisting,228
ItemsRemoved,228
ItemsUpdated,228
KDCRealm,4
KaMinLimit,162
KaValue,162
KaValueType,162
KernelDebug,44
Key,1488
KeyFilePath,15212
KeyLength,191994
KeyName,37434
KeyType,35930
KeysUpdated,772
LBA,1124
LUN,4766
Language,36
LastBootGood,98
LastError,2212
LastRunDateTime,1578
LastShutdownGood,98
LauncherId,82
LicenseId,2932
Line,348
"Line Number",107574
LinkDescription,2524
ListenAddresses,2
LiveCacheIndex,84
LmPackageName,191994
LoadOptions,88
LoadedInstances,20
LocalAddresses,2892
LocalOnlyMapped,2582
LocalPath,458
LocalPorts,676
LocaleName,62
Location,2
LockoutDuration,8
LockoutObservationWindow,8
LockoutThreshold,22
LoggingMode,580
LogonGuid,511928
LogonHours,1454
LogonId,243272
LogonProcessName,191994
LogonType,390350
Lookup,14
LooseSourceMapped,2892
LowerFilters,24
LowestFreeSpaceInBytes,1010
MachineAccountQuota,22
MachineEnvironment,12
MachineName,226
MachineRole,2526
Machines,220
MainPackageFullName,394
MainPackageMoniker,1066
MainPathBootTime,284
MajorType,18
MajorVersion,156
MandatoryLabel,444
MasterKeyGUID,174
MatchingDeviceId,1240
MaxDeviceQueueCount,3642
MaxFileSize,4
MaxLatencyMs,200
MaxOutstandingCount,3642
MaxPasswordAge,8
MaxRunspaces,146
MaxTimeToWait,30
MaximumPerformancePercent,384
MediaType,1348
"Member Name",96
MemberName,38
MemberSid,38
MemoryBandwidth,14
MemorySize,14
Message,105976
Message1,6144
Message2,3216
Message3,360
Message4,360
MessageId,39694
MessageNumber,5256
MessageTotal,5256
MetadataStorePath,20
MinPasswordAge,16
MinPasswordLength,22
MinRunspaces,146
MinimumPerformancePercent,384
MinimumThrottlePercent,384
MinorType,18
MinorVersion,156
Minutes,32
MirroringEnabled,14
MixedDomainMode,22
Model,1530
ModifyingApplication,4180
ModifyingUser,4784
"Module Name",1222
MonitorHeight,46
MonitorNum,46
MonitorWidth,46
MonitorX,46
MonitorY,46
MountPoint,1866
NAME,1530
NCReadAvgLatencyNs,2538
NCReadIOCount,2538
NCReadTotalBytes,2538
NCWriteAvgLatencyNs,2538
NCWriteIOCount,2538
NCWriteTotalBytes,2538
Name,7206
NameLength,10130
Namespace,5146
NetStatusCode,8
NetworkBandwidthInKbps,3454
NetworkConnectivityLevelChanged,8646
NetworkName,1556
"New State",3914
"New Value",122
NewAddressFamily,56
NewAvgWaitTimeout,30
NewCacheIndex,84
NewDUID,14
NewDUIDLength,14
NewHWAddress,14
NewHWLength,14
NewHbdrvAttachState,48
NewIndex,56
NewInternetConnectionProfile,8646
NewLanguage,184
NewPhysicalMediumType,56
NewProcessId,586
NewProcessName,586
NewProfile,1292
NewRdbAttachState,48
NewSchemeGuid,10
NewSd,556
NewSize,64
NewState,48
NewStateName,36
NewStatus,32
NewTargetUserName,234
NewThreadId,198
NewTime,422
NewUacValue,1454
NewValue,42
NextDeploymentState,34
NextPolicyApplicationTime,1946
NextPolicyApplicationTimeUnit,1946
NodeName,36
NominalFrequency,384
NotificationId,6
NotificationType,1248
NumMonitors,16
NumPackages,3172
Number,500
NumberOfFiles,4
NumberOfGPOsApplicable,1582
NumberOfGPOsDownloaded,1582
NumberOfGroupPolicyObjects,432
"OS EditionID",10
"OS Name",10
"OS build version",10
"OS major version",10
"OS minor version",10
"OS service pack Name",4
"OS service pack major version",10
"OS service pack minor version",10
OSEditionID,4
OSLoaderDuration,284
OSName,4
OSbuildversion,4
OSmajorversion,4
OSminorversion,4
OSservicepackmajorversion,4
OSservicepackminorversion,4
Object,24
ObjectName,758
ObjectServer,758
ObjectType,758
OemInformation,22
"Old Value",122
OldAddressFamily,56
OldHbdrvAttachState,48
OldIndex,56
OldProfile,1292
OldRdbAttachState,48
OldSchemeGuid,10
OldSd,112
OldState,12
OldStatus,32
OldTargetUserName,234
OldTime,246
OldUacValue,1454
Operation,37812
OperationDescription,18136
OperationElaspedTimeInMilliSeconds,9064
OperationParameter1,570
OperationStatus,6
OperationType,202
Options,368
Origin,3324
OriginalActivityId,9364
OriginalFileName,243224
OriginalSize,64
OtherKernelInitDuration,284
OtherLogonInitActivityDuration,284
OutrankedDrivers,670
PID,962
Package,1356
PackageFamilyName,1300
PackageFullName,13390
PackageID,96
PackageId,1496
PackageInfo,64420
PackageMoniker,1354
PackageMoniker2,32
PackageName,91988
PackagePath,164
PackageState,44
PackageType,1832
PackageUri,122
Param1,8
Param2,8
Parameter,15704
ParentCommandLine,243224
ParentDeviceInstanceId,708
ParentImage,243224
ParentProcessGuid,243224
ParentProcessId,243224
ParentProcessName,400
Partition,132
PasswordHistoryLength,22
PasswordLastSet,1454
PasswordProperties,22
Path,55878
PathID,4766
PathLength,520
PathOne,32
PathTwo,32
Payload,5152
PeerContextInfo,6018
PerfStateCount,116
PerformanceImplementation,384
PeriodicUpdateRecurrence,20
"Persistence Limit Type",210
"Persistence Limit Type Index",210
"Persistence Limit Value",210
"Persistence Path",210
PhaseID,2864
PipelineId,136
Placeholders,24
PolicyActivityId,2554
PolicyApplicationMode,4114
PolicyDownloadTimeElapsedInMilliseconds,1578
PolicyElaspedTimeInSeconds,2572
PolicyProcessingMode,2552
Port,8268
PortNumber,4766
PowerButtonTimestamp,24
PreAuthType,41540
PrevAvgWaitTimeout,30
